Country,Suicides_No,GDP_Per_Capita
Antigua and Barbuda,1,14853
Argentina,3073,14981
Armenia,74,3775
Australia,3027,60656
Austria,1251,46484
Belgium,1867,42830
Belize,26,5561
Brazil,11163,9431
Chile,1838,14729
Colombia,2332,6552
Croatia,739,12351
Cuba,1511,8044
Cyprus,40,24718
Czech Republic,1387,18703
Denmark,564,55972
Ecuador,1073,6832
Estonia,195,18149
Finland,731,44862
Georgia,192,4046
Germany,10088,43201
Greece,529,18927
Grenada,0,10290
Guatemala,494,4472
Hungary,1868,13087
Iceland,40,54909
Israel,342,39793
Italy,3988,31537
Japan,23092,36510
Kazakhstan,2872,11784
Kyrgyzstan,417,1285
Latvia,387,14382
Lithuania,896,15073
Luxembourg,64,107456
Malta,34,25750
Mauritius,104,10125
Mexico,6234,10228
Netherlands,1873,47206
Nicaragua,315,2303
Norway,590,79187
Panama,110,15158
Poland,5420,13228
Puerto Rico,226,29728
Qatar,66,69937
Republic of Korea,13510,28410
Romania,2228,9431
Russian Federation,25432,9987
Saint Vincent and Grenadines,3,7496
Serbia,1062,5492
Seychelles,7,16005
Singapore,329,81766
Slovenia,422,22036
South Africa,482,6403
Spain,3604,27108
Sweden,1182,54629
Switzerland,1073,86068
Thailand,4205,6552
Turkey,1532,11961
Turkmenistan,133,7326
Ukraine,7574,2256
United Kingdom,4910,47240
United States,44189,60387
Uruguay,630,16696
