country,code,average
Albania,ALB,3.136984684
Antigua and Barbuda,ATG,0.540948917
Argentina,ARG,7.910779667
Armenia,ARM,2.474924769
Aruba,ABW,8.096933494
Australia,AUS,13.01252781
Austria,AUT,20.70912079
Azerbaijan,AZE,1.485560365
The Bahamas,BHS,1.405601324
Bahrain,BHR,2.89657115
Barbados,BRB,2.941829924
Belarus,BLR,30.23114944
Belgium,BEL,20.74670296
Belize,BLZ,5.164501655
Bosnia and Herzegovina,BIH,4.350837949
Brazil,BRA,4.570885199
Bulgaria,BGR,15.54116721
Canada,CAN,13.1310921
Chile,CHL,9.248952223
Colombia,COL,4.674172334
Costa Rica,CRI,6.519237735
Croatia,HRV,20.06441789
Cuba,CUB,16.53706514
Cyprus,CYP,3.557848001
Czech Republic,CZE,16.54847962
Denmark,DNK,13.70260598
Dominican Republic,DMA,0
Ecuador,ECU,5.891242318
El Salvador,SLV,9.441406578
Estonia,EST,25.74407806
Fiji,FJI,3.707910568
Finland,FIN,23.89948698
France,FRA,19.80989862
Georgia,GEO,3.469799695
Germany,DEU,14.40572164
Greece,GRC,3.91792596
Grenada,GRD,1.639422238
Guatemala,GTM,2.581708364
Guyana,GUY,20.56697088
Hungary,HUN,29.61657385
Iceland,ISL,13.21462565
Ireland,IRL,11.45262976
Israel,ISR,6.682719413
Italy,ITA,7.712660437
Jamaica,JAM,0.442781933
Japan,JPN,21.88620319
Kazakhstan,KAZ,27.04056278
Kiribati,KIR,7.434540513
Kuwait,KWT,1.722400451
Kyrgyzstan,KGZ,11.55189535
Latvia,LVA,27.99464044
Lithuania,LTU,40.73623406
Luxembourg,LUX,15.51063513
Macau,MAC,7.791263397
Maldives,MDV,0.700872568
Malta,MLT,5.072578833
Mauritius,MUS,11.80880271
Mexico,MEX,3.858872959
Mongolia,MNG,19.51476964
Montenegro,MNE,8.026162559
Netherlands,NLD,10.71034216
New Zealand,NZL,14.0249638
Nicaragua,NIC,6.352307946
Norway,NOR,13.37555951
Oman,OMN,0.388109072
Panama,PAN,4.932187938
Paraguay,PRY,3.623697909
Philippines,PHL,1.935851488
Poland,POL,16.05617195
Portugal,PRT,9.189464804
Puerto Rico,PRI,8.612197846
Qatar,QAT,2.619000275
South Korea,KOR,18.63819695
Romania,ROU,12.64778155
Russia,RUS,32.70274307
Saint Kitts and Nevis,KNA,0
Saint Lucia,LCA,5.945625612
San Marino,SMR,5.139638882
Republic of Serbia,SRB,19.14180167
Seychelles,SYC,7.043414898
Singapore,SGP,10.92472112
Slovakia,SVK,12.03820606
Slovenia,SVN,26.41556146
South Africa,ZAF,0.822514256
Spain,ESP,8.164114689
Sri Lanka,LKA,30.84756383
Suriname,SUR,18.01769847
Sweden,SWE,14.99895229
Switzerland,CHE,17.62518688
Thailand,THA,6.974326879
Trinidad and Tobago,TTO,12.89570762
Turkey,TUR,2.093994469
Turkmenistan,TKM,7.673493073
Ukraine,UKR,24.74054189
United Arab Emirates,ARE,1.750932194
England,GBR,7.884082691
USA,USA,12.835303
Uruguay,URY,15.49686976
Uzbekistan,UZB,7.231692826
